File, Suite, Query name, Query ID, Kind, Severity, Precision
github/codeql/java/ql/src/Security/CWE/CWE-134/ExternallyControlledFormatString.ql, code-scanning, Use of externally-controlled format string, java/tainted-format-string, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-352/SpringCSRFProtection.ql, code-scanning, Disabled Spring CSRF protection, java/spring-disabled-csrf-protection, problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-502/UnsafeDeserialization.ql, code-scanning, Deserialization of user-controlled data, java/unsafe-deserialization, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-022/ZipSlip.ql, code-scanning, Arbitrary file write during archive extraction (Zip Slip), java/zipslip, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-022/TaintedPath.ql, code-scanning, Uncontrolled data used in path expression, java/path-injection, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-611/XXE.ql, code-scanning, Resolving XML external entity in user-controlled data, java/xxe, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-078/ExecUnescaped.ql, code-scanning, Building a command line with string concatenation, java/concatenated-command-line, problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-078/ExecTainted.ql, code-scanning, Uncontrolled command line, java/command-line-injection, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-681/NumericCastTainted.ql, code-scanning, User-controlled data in numeric cast, java/tainted-numeric-cast, path-problem, error, high
github/codeql/java/ql/src/Security/CWE/CWE-829/InsecureDependencyResolution.ql, code-scanning, Failure to use HTTPS or SFTP URL in Maven artifact upload/download, java/maven/non-https-url, problem, error, very-high
github/codeql/java/ql/src/Security/CWE/CWE-079/XSS.ql, code-scanning, Cross-site scripting, java/xss, path-problem, error, high
github/codeql/java/ql/src/Likely Bugs/Arithmetic/InformationLoss.ql, code-scanning, Implicit narrowing conversion in compound assignment, java/implicit-cast-in-compound-assignment, problem, warning, very-high
github/codeql/java/ql/src/Likely Bugs/Arithmetic/IntMultToLong.ql, code-scanning, Result of multiplication cast to wider type, java/integer-multiplication-cast-to-long, problem, warning, very-high
github/codeql/javascript/ql/src/experimental/Security/CWE-94/ServerSideTemplateInjection.ql, code-scanning, Server Side Template Injection, js/server-side-template-injection, path-problem, error, high
github/codeql/javascript/ql/src/AngularJS/DisablingSce.ql, code-scanning, Disabling SCE, js/angular/disabling-sce, problem, warning, very-high
github/codeql/javascript/ql/src/AngularJS/InsecureUrlWhitelist.ql, code-scanning, Insecure URL whitelist, js/angular/insecure-url-whitelist, problem, warning, very-high
github/codeql/javascript/ql/src/RegExp/IdentityReplacement.ql, code-scanning, Replacement of a substring with itself, js/identity-replacement, problem, warning, very-high
github/codeql/javascript/ql/src/Security/CWE-201/PostMessageStar.ql, code-scanning, Cross-window communication with unrestricted target origin, js/cross-window-information-leak, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-094/CodeInjection.ql, code-scanning, Code injection, js/code-injection, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-094/UnsafeDynamicMethodAccess.ql, code-scanning, Unsafe dynamic method access, js/unsafe-dynamic-method-access, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-209/StackTraceExposure.ql, code-scanning, Information exposure through a stack trace, js/stack-trace-exposure, path-problem, warning, very-high
github/codeql/javascript/ql/src/Security/CWE-601/ClientSideUrlRedirect.ql, code-scanning, Client-side URL redirect, js/client-side-unvalidated-url-redirection, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-601/ServerSideUrlRedirect.ql, code-scanning, Server-side URL redirect, js/server-side-unvalidated-url-redirection, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-327/BrokenCryptoAlgorithm.ql, code-scanning, Use of a broken or weak cryptographic algorithm, js/weak-cryptographic-algorithm, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-916/InsufficientPasswordHash.ql, code-scanning, Use of password hash with insufficient computational effort, js/insufficient-password-hash, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-089/SqlInjection.ql, code-scanning, Database query built from user-controlled sources, js/sql-injection, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-020/IncompleteUrlSchemeCheck.ql, code-scanning, Incomplete URL scheme check, js/incomplete-url-scheme-check, problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-020/UselessRegExpCharacterEscape.ql, code-scanning, Useless regular-expression character escape, js/useless-regexp-character-escape, problem, error, high
github/codeql/javascript/ql/src/Security/CWE-020/IncompleteHostnameRegExp.ql, code-scanning, Incomplete regular expression for hostnames, js/incomplete-hostname-regexp, problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-020/IncorrectSuffixCheck.ql, code-scanning, Incorrect suffix check, js/incorrect-suffix-check, problem, error, high
github/codeql/javascript/ql/src/Security/CWE-020/IncompleteUrlSubstringSanitization.ql, code-scanning, Incomplete URL substring sanitization, js/incomplete-url-substring-sanitization, problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-640/HostHeaderPoisoningInEmailGeneration.ql, code-scanning, Host header poisoning in email generation, js/host-header-forgery-in-email-generation, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-400/PrototypePollution.ql, code-scanning, Prototype pollution, js/prototype-pollution, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-400/PrototypePollutionUtility.ql, code-scanning, Prototype pollution in utility function, js/prototype-pollution-utility, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-834/LoopBoundInjection.ql, code-scanning, Loop bound injection, js/loop-bound-injection, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-770/MissingRateLimiting.ql, code-scanning, Missing rate limiting, js/missing-rate-limiting, problem, error, high
github/codeql/javascript/ql/src/Security/CWE-346/CorsMisconfigurationForCredentials.ql, code-scanning, CORS misconfiguration for credentials transfer, js/cors-misconfiguration-for-credentials, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-116/IncompleteSanitization.ql, code-scanning, Incomplete string escaping or encoding, js/incomplete-sanitization, problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-116/UnsafeHtmlExpansion.ql, code-scanning, Unsafe expansion of self-closing HTML tag, js/unsafe-html-expansion, problem, warning, very-high
github/codeql/javascript/ql/src/Security/CWE-116/DoubleEscaping.ql, code-scanning, Double escaping or unescaping, js/double-escaping, problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-116/IncompleteHtmlAttributeSanitization.ql, code-scanning, Incomplete HTML attribute sanitization, js/incomplete-html-attribute-sanitization, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-776/XmlBomb.ql, code-scanning, XML internal entity expansion, js/xml-bomb, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-312/CleartextStorage.ql, code-scanning, Clear text storage of sensitive information, js/clear-text-storage-of-sensitive-data, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-312/CleartextLogging.ql, code-scanning, Clear-text logging of sensitive information, js/clear-text-logging, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-754/UnvalidatedDynamicMethodCall.ql, code-scanning, Unvalidated dynamic method call, js/unvalidated-dynamic-method-call, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-798/HardcodedCredentials.ql, code-scanning, Hard-coded credentials, js/hardcoded-credentials, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-134/TaintedFormatString.ql, code-scanning, Use of externally-controlled format string, js/tainted-format-string, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-352/MissingCsrfMiddleware.ql, code-scanning, Missing CSRF middleware, js/missing-token-validation, problem, error, high
github/codeql/javascript/ql/src/Security/CWE-338/InsecureRandomness.ql, code-scanning, Insecure randomness, js/insecure-randomness, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-502/UnsafeDeserialization.ql, code-scanning, Deserialization of user-controlled data, js/unsafe-deserialization, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-730/RegExpInjection.ql, code-scanning, Regular expression injection, js/regex-injection, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-022/ZipSlip.ql, code-scanning, Arbitrary file write during zip extraction (Zip Slip), js/zipslip, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-022/TaintedPath.ql, code-scanning, Uncontrolled data used in path expression, js/path-injection, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-843/TypeConfusionThroughParameterTampering.ql, code-scanning, Type confusion through parameter tampering, js/type-confusion-through-parameter-tampering, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-611/Xxe.ql, code-scanning, XML external entity expansion, js/xxe, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-078/UselessUseOfCat.ql, code-scanning, Unnecessary use of `cat` process, js/unnecessary-use-of-cat, problem, error, high
github/codeql/javascript/ql/src/Security/CWE-078/CommandInjection.ql, code-scanning, Uncontrolled command line, js/command-line-injection, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-078/UnsafeShellCommandConstruction.ql, code-scanning, Unsafe shell command constructed from library input, js/shell-command-constructed-from-input, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-078/ShellCommandInjectionFromEnvironment.ql, code-scanning, Shell command built from environment values, js/shell-command-injection-from-environment, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-643/XpathInjection.ql, code-scanning, XPath injection, js/xpath-injection, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-079/ReflectedXss.ql, code-scanning, Reflected cross-site scripting, js/reflected-xss, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-079/UnsafeJQueryPlugin.ql, code-scanning, Unsafe jQuery plugin, js/unsafe-jquery-plugin, path-problem, warning, high
github/codeql/javascript/ql/src/Security/CWE-079/Xss.ql, code-scanning, Client-side cross-site scripting, js/xss, path-problem, error, high
github/codeql/javascript/ql/src/Security/CWE-079/StoredXss.ql, code-scanning, Stored cross-site scripting, js/stored-xss, path-problem, error, high
github/codeql/javascript/ql/src/DOM/TargetBlank.ql, code-scanning, Potentially unsafe external link, js/unsafe-external-link, problem, warning, very-high
github/codeql/javascript/ql/src/Performance/ReDoS.ql, code-scanning, Inefficient regular expression, js/redos, problem, error, high
github/codeql/javascript/ql/src/Performance/PolynomialReDoS.ql, code-scanning, Polynomial regular expression used on uncontrolled data, js/polynomial-redos, path-problem, warning, high
github/codeql/javascript/ql/src/Electron/AllowRunningInsecureContent.ql, code-scanning, Enabling Electron allowRunningInsecureContent, js/enabling-electron-insecure-content, problem, error, very-high
github/codeql/javascript/ql/src/Electron/DisablingWebSecurity.ql, code-scanning, Disabling Electron webSecurity, js/disabling-electron-websecurity, problem, error, very-high
github/codeql/csharp/ql/src/experimental/CWE-099/TaintedWebClient.ql, code-scanning, Uncontrolled data used in a WebClient, cs/webclient-path-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-201/ExposureInTransmittedData.ql, code-scanning, Information exposure through transmitted data, cs/sensitive-data-transmission, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-094/CodeInjection.ql, code-scanning, Improper control of generation of code, cs/code-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-209/ExceptionInformationExposure.ql, code-scanning, Information exposure through an exception, cs/information-exposure-through-exception, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-807/ConditionalBypass.ql, code-scanning, User-controlled bypass of sensitive method, cs/user-controlled-bypass, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-451/MissingXFrameOptions.ql, code-scanning, Missing X-Frame-Options HTTP header, cs/web/missing-x-frame-options, problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-601/UrlRedirect.ql, code-scanning, URL redirection from remote source, cs/web/unvalidated-url-redirection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/PersistentCookie.ql, code-scanning, Cookie security: persistent cookie, cs/web/persistent-cookie, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-114/AssemblyPathInjection.ql, code-scanning, Assembly path injection, cs/assembly-path-injection, problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-548/ASPNetDirectoryListing.ql, code-scanning, ASP.NET config file enables directory browsing, cs/web/directory-browse-enabled, problem, warning, very-high
github/codeql/csharp/ql/src/Security Features/CWE-359/ExposureOfPrivateInformation.ql, code-scanning, Exposure of private information, cs/exposure-of-sensitive-information, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-614/RequireSSL.ql, code-scanning, 'requireSSL' attribute is not set to true, cs/web/requiressl-not-set, problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-089/SqlInjection.ql, code-scanning, SQL query built from user-controlled sources, cs/sql-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-248/MissingASPNETGlobalErrorHandler.ql, code-scanning, Missing global error handler, cs/web/missing-global-error-handler, problem, warning, high
github/codeql/csharp/ql/src/Security Features/InadequateRSAPadding.ql, code-scanning, Weak encryption: inadequate RSA padding, cs/inadequate-rsa-padding, problem, warning, high
github/codeql/csharp/ql/src/Security Features/InsufficientKeySize.ql, code-scanning, Weak encryption: Insufficient key size, cs/insufficient-key-size, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-011/ASPNetDebug.ql, code-scanning, Creating an ASP.NET debug binary may reveal sensitive information, cs/web/debug-binary, problem, warning, very-high
github/codeql/csharp/ql/src/Security Features/CWE-099/ResourceInjection.ql, code-scanning, Resource injection, cs/resource-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-090/LDAPInjection.ql, code-scanning, LDAP query built from user-controlled sources, cs/ldap-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-091/XMLInjection.ql, code-scanning, XML injection, cs/xml-injection, problem, error, high
github/codeql/csharp/ql/src/Security Features/WeakEncryption.ql, code-scanning, Weak encryption, cs/weak-encryption, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-119/LocalUnvalidatedArithmetic.ql, code-scanning, Unvalidated local pointer arithmetic, cs/unvalidated-local-pointer-arithmetic, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-117/LogForging.ql, code-scanning, Log entries created from user input, cs/log-forging, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CookieWithOverlyBroadDomain.ql, code-scanning, Cookie security: overly broad domain, cs/web/broad-cookie-domain, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-384/AbandonSession.ql, code-scanning, Failure to abandon session, cs/session-reuse, problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-312/CleartextStorage.ql, code-scanning, Clear text storage of sensitive information, cs/cleartext-storage-of-sensitive-information, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-798/HardcodedConnectionString.ql, code-scanning, Hard-coded connection string with credentials, cs/hardcoded-connection-string-credentials, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-798/HardcodedCredentials.ql, code-scanning, Hard-coded credentials, cs/hardcoded-credentials, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-937/VulnerablePackage.ql, code-scanning, Using a package with a known vulnerability, cs/use-of-vulnerable-package, problem, error, high
github/codeql/csharp/ql/src/Security Features/Encryption using ECB.ql, code-scanning, Encryption using ECB, cs/ecb-encryption, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-134/UncontrolledFormatString.ql, code-scanning, Uncontrolled format string, cs/uncontrolled-format-string, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-352/MissingAntiForgeryTokenValidation.ql, code-scanning, Missing cross-site request forgery token validation, cs/web/missing-token-validation, problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-502/UnsafeDeserializationUntrustedInput.ql, code-scanning, Deserialization of untrusted data, cs/unsafe-deserialization-untrusted-input, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-502/DeserializedDelegate.ql, code-scanning, Deserialized delegate, cs/deserialized-delegate, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-730/RegexInjection.ql, code-scanning, Regular expression injection, cs/regex-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-730/ReDoS.ql, code-scanning, Denial of Service from comparison of user input against expensive regex, cs/redos, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-022/ZipSlip.ql, code-scanning, Arbitrary file write during zip extraction (Zip Slip), cs/zipslip, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-022/TaintedPath.ql, code-scanning, Uncontrolled data used in path expression, cs/path-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-611/UntrustedDataInsecureXml.ql, code-scanning, Untrusted XML is read insecurely, cs/xml/insecure-dtd-handling, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CWE-078/CommandInjection.ql, code-scanning, Uncontrolled command line, cs/command-line-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/CookieWithOverlyBroadPath.ql, code-scanning, Cookie security: overly broad path, cs/web/broad-cookie-path, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-643/XPathInjection.ql, code-scanning, XPath injection, cs/xml/xpath-injection, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/HeaderCheckingDisabled.ql, code-scanning, Header checking disabled, cs/web/disabled-header-checking, problem, warning, high
github/codeql/csharp/ql/src/Security Features/CWE-079/XSS.ql, code-scanning, Cross-site scripting, cs/web/xss, path-problem, error, high
github/codeql/csharp/ql/src/Security Features/InsecureRandomness.ql, code-scanning, Insecure randomness, cs/insecure-randomness, path-problem, warning, high
github/codeql/python/ql/src/Security/CWE-094/CodeInjection.ql, code-scanning, Code injection, py/code-injection, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-209/StackTraceExposure.ql, code-scanning, Information exposure through an exception, py/stack-trace-exposure, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-601/UrlRedirect.ql, code-scanning, URL redirection from remote source, py/url-redirection, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-326/WeakCrypto.ql, code-scanning, Use of weak cryptographic key, py/weak-crypto-key, problem, error, high
github/codeql/python/ql/src/Security/CWE-327/InsecureDefaultProtocol.ql, code-scanning, Default version of SSL/TLS may be insecure, py/insecure-default-protocol, problem, warning, high
github/codeql/python/ql/src/Security/CWE-327/BrokenCryptoAlgorithm.ql, code-scanning, Use of a broken or weak cryptographic algorithm, py/weak-cryptographic-algorithm, path-problem, warning, high
github/codeql/python/ql/src/Security/CWE-327/InsecureProtocol.ql, code-scanning, Use of insecure SSL/TLS version, py/insecure-protocol, problem, warning, high
github/codeql/python/ql/src/Security/CWE-089/SqlInjection.ql, code-scanning, SQL query built from user-controlled sources, py/sql-injection, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-020/IncompleteHostnameRegExp.ql, code-scanning, Incomplete regular expression for hostnames, py/incomplete-hostname-regexp, problem, warning, high
github/codeql/python/ql/src/Security/CWE-020/IncompleteUrlSubstringSanitization.ql, code-scanning, Incomplete URL substring sanitization, py/incomplete-url-substring-sanitization, problem, warning, high
github/codeql/python/ql/src/Security/CWE-215/FlaskDebug.ql, code-scanning, Flask app is run in debug mode, py/flask-debug, problem, error, high
github/codeql/python/ql/src/Security/CVE-2018-1281/BindToAllInterfaces.ql, code-scanning, Binding a socket to all network interfaces, py/bind-socket-all-network-interfaces, problem, error, high
github/codeql/python/ql/src/Security/CWE-295/MissingHostKeyValidation.ql, code-scanning, Accepting unknown SSH host keys when using Paramiko, py/paramiko-missing-host-key-validation, problem, error, high
github/codeql/python/ql/src/Security/CWE-377/InsecureTemporaryFile.ql, code-scanning, Insecure temporary file, py/insecure-temporary-file, problem, error, high
github/codeql/python/ql/src/Security/CWE-312/CleartextStorage.ql, code-scanning, Clear-text storage of sensitive information, py/clear-text-storage-sensitive-data, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-312/CleartextLogging.ql, code-scanning, Clear-text logging of sensitive information, py/clear-text-logging-sensitive-data, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-502/UnsafeDeserialization.ql, code-scanning, Deserializing untrusted input, py/unsafe-deserialization, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-022/PathInjection.ql, code-scanning, Uncontrolled data used in path expression, py/path-injection, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-078/CommandInjection.ql, code-scanning, Uncontrolled command line, py/command-line-injection, path-problem, error, high
github/codeql/python/ql/src/Security/CWE-079/ReflectedXss.ql, code-scanning, Reflected server-side cross-site scripting, py/reflective-xss, path-problem, error, high
github/codeql/python/ql/src/Expressions/UseofInput.ql, code-scanning, 'input' function used in Python 2, py/use-of-input, problem, error, high
github/codeql-go/ql/src/Security/CWE-601/OpenUrlRedirect.ql, code-scanning, Open URL redirect, go/unvalidated-url-redirection, path-problem, warning, high
github/codeql-go/ql/src/Security/CWE-601/BadRedirectCheck.ql, code-scanning, Bad redirect check, go/bad-redirect-check, path-problem, error, high
github/codeql-go/ql/src/Security/CWE-918/RequestForgery.ql, code-scanning, Uncontrolled data used in network request, go/request-forgery, path-problem, error, high
